Ballpark,Team,LF,CF,RF,Elevation_ft,Lat,Lon,Roof
American Family Field,Milwaukee Brewers,332,400,325,600,43.028,-87.9712,retractable
Angel Stadium,Los Angeles Angels,330,396,330,148,33.8003,-117.8827,open
Busch Stadium,St. Louis Cardinals,336,400,335,438,38.6226,-90.1928,open
Oriole Park at Camden Yards,Baltimore Orioles,337,406,320,17,39.2839,-76.6217,open
Chase Field,Arizona Diamondbacks,330,407,335,1085,33.4455,-112.0667,retractable
Citi Field,New York Mets,335,405,330,13,40.7571,-73.8458,open
Citizens Bank Park,Philadelphia Phillies,330,401,329,16,39.9075,-75.1682,open
Comerica Park,Detroit Tigers,345,420,330,577,42.339,-83.0485,open
Coors Field,Colorado Rockies,347,415,350,5180,39.7559,-104.9942,open
Dodger Stadium,Los Angeles Dodgers,330,400,300,501,34.0739,-118.24,open
Fenway Park,Boston Red Sox,310,420,302,7,42.3467,-71.0972,open
Globe Life Field,Texas Rangers,329,407,326,508,32.7473,-97.0841,retractable
Great American Ball Park,Cincinnati Reds,328,404,325,490,39.0975,-84.5066,open
Rate Field,Chicago White Sox,330,400,335,596,41.83,-87.6339,open
Kauffman Stadium,Kansas City Royals,330,400,330,887,39.0517,-94.4803,open
loanDepot Park,Miami Marlins,340,420,335,8,25.7781,-80.2196,retractable
Daikin Park,Houston Astros,315,435,326,21,29.7573,-95.3555,retractable
Nationals Park,Washington Nationals,336,403,335,23,38.873,-77.0074,open
Oracle Park,San Francisco Giants,339,399,309,12,37.7786,-122.3893,open
Petco Park,San Diego Padres,336,396,322,15,32.7076,-117.157,open
PNC Park,Pittsburgh Pirates,325,399,320,725,40.4469,-80.0057,open
Progressive Field,Cleveland Guardians,325,405,325,652,41.4962,-81.6852,open
Rogers Centre,Toronto Blue Jays,328,400,328,253,43.6398,-79.382,retractable
Tropicana Field,Tampa Bay Rays,315,404,322,49,27.769,-82.657,dome
Sutter Health Park,Athletics,330,403,325,21,38.5802,-121.5133,open
T-Mobile Park,Seattle Mariners,331,405,327,12,47.5914,-122.3325,retractable
Target Field,Minnesota Twins,339,404,328,826,44.9817,-93.2776,open
Truist Park,Atlanta Braves,335,400,325,965,33.8908,-84.4678,open
Wrigley Field,Chicago Cubs,355,400,353,595,41.9484,-87.6553,open
Yankee Stadium,New York Yankees,318,404,314,14,40.8296,-73.9262,open
