GamePk,Season,Date,DayNight,AwayTeam,HomeTeam,AwayScore,HomeScore,Venue,Temp,Condition,WindSpeed,WindDir
413661,2015,2015-04-05,night,STL,CHC,3,0,Wrigley Field,44,Clear,7,In From CF
413649,2015,2015-04-06,day,LAA,SEA,1,4,Safeco Field,54,Cloudy,1,Varies
413650,2015,2015-04-06,day,ATL,MIA,2,1,loanDepot Park,80,Partly Cloudy,16,In From CF
413651,2015,2015-04-06,day,BAL,TB,6,2,Tropicana Field,72,Dome,0,None
413652,2015,2015-04-06,day,BOS,PHI,8,0,Citizens Bank Park,71,Partly Cloudy,11,Out To RF
413653,2015,2015-04-06,day,CWS,KC,1,10,Kauffman Stadium,59,Drizzle,6,R To L
413654,2015,2015-04-06,night,CLE,HOU,0,2,Daikin Park,79,Partly Cloudy,14,Out To LF
413655,2015,2015-04-06,day,COL,MIL,10,0,Miller Park,70,Roof Closed,0,None
413656,2015,2015-04-06,day,MIN,DET,0,4,Comerica Park,52,Partly Cloudy,5,R To L
413657,2015,2015-04-06,day,NYM,WSH,3,1,Nationals Park,76,Sunny,14,Out To CF
413658,2015,2015-04-06,day,PIT,CIN,2,5,Great American Ball Park,68,Overcast,15,Out To LF
413659,2015,2015-04-06,day,SD,LAD,3,6,Dodger Stadium,65,Partly Cloudy,1,Varies
413660,2015,2015-04-06,night,SF,AZ,5,4,Chase Field,81,Clear,7,L To R
413662,2015,2015-04-06,night,TEX,OAK,0,8,O.co Coliseum,56,Cloudy,17,Out To RF
413663,2015,2015-04-06,day,TOR,NYY,6,1,Yankee Stadium,54,Partly Cloudy,5,R To L
413664,2015,2015-04-07,night,LAA,SEA,2,0,Safeco Field,56,Partly Cloudy,3,Out To RF
413665,2015,2015-04-07,night,ATL,MIA,12,2,loanDepot Park,75,Roof Closed,0,None
413666,2015,2015-04-07,night,BAL,TB,6,5,Tropicana Field,72,Dome,0,None
413667,2015,2015-04-07,night,COL,MIL,5,2,Miller Park,64,Roof Closed,0,None
413668,2015,2015-04-07,night,SD,LAD,7,3,Dodger Stadium,57,Rain,1,Varies
413669,2015,2015-04-07,night,SF,AZ,6,7,Chase Field,79,Partly Cloudy,13,Out To RF
413670,2015,2015-04-07,night,TEX,OAK,3,1,O.co Coliseum,54,Partly Cloudy,16,Out To RF
413671,2015,2015-04-08,night,LAA,SEA,5,3,Safeco Field,60,Partly Cloudy,1,In From LF
413672,2015,2015-04-08,night,ATL,MIA,2,0,loanDepot Park,73,Roof Closed,0,None
413673,2015,2015-04-08,night,BAL,TB,0,2,Tropicana Field,72,Dome,0,None
413674,2015,2015-04-08,night,BOS,PHI,2,4,Citizens Bank Park,40,Cloudy,11,R To L
413675,2015,2015-04-08,night,CWS,KC,5,7,Kauffman Stadium,74,Cloudy,14,R To L
413676,2015,2015-04-08,night,CLE,HOU,2,0,Daikin Park,79,Cloudy,11,Out To LF
413677,2015,2015-04-08,night,COL,MIL,5,4,Miller Park,64,Roof Closed,0,None
413678,2015,2015-04-08,day,MIN,DET,0,11,Comerica Park,39,Cloudy,7,In From LF
