PlayerId,Name,Bats,Throws
405395,Albert Pujols,R,R
408234,Miguel Cabrera,R,R
424144,Oliver Pérez,L,L
425772,Jeff Mathis,R,R
425783,Shin-Soo Choo,L,L
425784,René Rivera,R,R
425794,Adam Wainwright,R,R
425844,Zack Greinke,R,R
425877,Yadier Molina,R,R
429664,Robinson Canó,L,R
429665,Edwin Encarnación,R,R
429722,Ervin Santana,R,R
430935,Cole Hamels,L,L
431148,Scott Kazmir,L,L
433589,Yusmeiro Petit,R,R
434378,Justin Verlander,R,R
434671,Aníbal Sánchez,R,R
435062,Howie Kendrick,R,R
435522,Neil Walker,S,R
435559,Kurt Suzuki,R,R
443558,Nelson Cruz,R,R
444468,Héctor Rondón,R,R
444482,David Peralta,L,L
444489,Manny Piña,R,R
444876,Alcides Escobar,R,R
445055,Jon Jay,L,L
445213,Brandon Kintzler,R,R
445276,Kenley Jansen,S,R
445926,Jesse Chavez,R,R
446099,John Axford,R,R
446308,Matt Wieters,S,R
446321,Ross Detwiler,R,L
446334,Evan Longoria,R,R
446372,Corey Kluber,R,R
446481,Sean Rodríguez,R,R
446653,Jose Lobatón,S,R
448179,Rich Hill,L,L
448281,Sean Doolittle,L,L
448801,Chris Davis,L,R
448855,Junior Guerra,R,R
450172,Edinson Volquez,R,R
450203,Charlie Morton,R,R
451584,Wade Davis,R,R
451594,Dexter Fowler,S,R
452027,Andrew Albers,R,L
452095,Tyler Flowers,R,R
452254,Hunter Pence,R,R
452657,Jon Lester,L,L
452678,Asdrúbal Cabrera,S,R
453172,Jared Hughes,R,R
453178,Ian Kennedy,R,R
453192,Andrew Miller,L,L
453265,Tony Watson,L,L
453268,Daniel Bard,R,R
453281,Wade LeBlanc,L,L
453284,Blake Parker,R,R
453286,Max Scherzer,R,R
453343,Mark Melancon,R,R
453527,Sean Kazmar Jr.,R,R
453562,Jake Arrieta,R,R
453568,Charlie Blackmon,L,L
453943,Todd Frazier,R,R
455117,Martín Maldonado,R,R
455119,Chris Martin,R,R
455139,Robinson Chirinos,R,R
455976,Nick Markakis,L,L
456034,David Price,L,L
456124,Erik Kratz,R,R
456488,Eduardo Núñez,R,R
456501,Johnny Cueto,R,R
456701,Homer Bailey,R,R
456713,Matt Bush,R,R
456715,Lorenzo Cain,R,R
456781,Donovan Solano,R,R
457705,Andrew McCutchen,R,R
457708,Justin Upton,R,R
457727,Cameron Maybin,R,R
457759,Justin Turner,R,R
457763,Buster Posey,R,R
457803,Jay Bruce,L,L
457915,Javy Guerra,R,R
457918,J.A. Happ,L,L
458015,Joey Votto,L,R
458676,Josh Lindblom,R,R
458677,Justin Wilson,L,L
458681,Lance Lynn,S,R
458708,Josh Tomlin,R,R
458731,Brett Gardner,L,L
459429,Jake McGee,L,L
