GamePk,Date,Season,HpUmpId,HpUmp
630099,2020-08-26,2020,427139,Doug Eddings
630100,2020-08-01,2020,427019,Ted Barrett
630101,2020-08-02,2020,482641,Adrian Johnson
630109,2020-08-04,2020,511890,Quinn Wolcott
630110,2020-08-05,2020,521051,Nick Mahrley
630111,2020-08-06,2020,427019,Ted Barrett
630115,2020-08-14,2020,484183,Cory Blaser
630116,2020-08-15,2020,427315,Alfonso Márquez
630117,2020-08-16,2020,427197,Chris Guccione
630118,2020-08-17,2020,427286,Brian Knight
630145,2020-07-30,2020,483919,Mark Ripperger
630174,2020-08-18,2020,483912,Mike Muchlinski
630193,2020-08-24,2020,554242,Edwin Moscoso
630194,2020-08-25,2020,427128,Rob Drake
630201,2020-07-31,2020,511890,Quinn Wolcott
630202,2020-09-27,2020,521051,Nick Mahrley
630203,2020-09-25,2020,644661,Kyle McCrady
630216,2020-08-28,2020,427344,Bill Miller
630217,2020-08-29,2020,554242,Edwin Moscoso
630219,2020-08-30,2020,427128,Rob Drake
630220,2020-09-08,2020,554242,Edwin Moscoso
630221,2020-09-09,2020,427128,Rob Drake
630223,2020-09-10,2020,427139,Doug Eddings
630224,2020-09-11,2020,427344,Bill Miller
630225,2020-09-12,2020,598411,Nestor Ceja
630226,2020-09-13,2020,554242,Edwin Moscoso
630243,2020-09-22,2020,596805,John Libka
630263,2020-09-23,2020,521051,Nick Mahrley
630270,2020-09-25,2020,427424,Jim Reynolds
630271,2020-09-26,2020,483561,Lance Barrett
630272,2020-07-29,2020,431232,Chad Fairchild
630273,2020-08-23,2020,577468,Roberto Ortiz
630275,2020-07-31,2020,427533,Mark Wegner
630278,2020-08-01,2020,427168,Marty Foster
630280,2020-08-02,2020,484198,Alan Porter
630281,2020-08-03,2020,503493,Sean Barber
630284,2020-08-04,2020,427533,Mark Wegner
630307,2020-08-05,2020,427168,Marty Foster
630313,2020-08-06,2020,484198,Alan Porter
630316,2020-08-17,2020,489985,Chad Whitson
630322,2020-08-18,2020,577468,Roberto Ortiz
630323,2020-09-04,2020,483569,Vic Carapazza
630324,2020-08-21,2020,482631,Mike Estabrook
630338,2020-08-22,2020,489985,Chad Whitson
630346,2020-07-30,2020,547380,Carlos Torres
630360,2020-08-26,2020,482631,Mike Estabrook
630361,2020-08-26,2020,428442,James Hoye
630371,2020-09-04,2020,427538,Joe West
630383,2020-09-05,2020,521889,Stu Scheurwater
630385,2020-09-22,2020,503493,Sean Barber
630415,2020-09-07,2020,608093,Junior Valentine
630438,2020-09-08,2020,483569,Vic Carapazza
630439,2020-09-09,2020,521889,Stu Scheurwater
630440,2020-09-21,2020,427533,Mark Wegner
630491,2020-09-06,2020,427537,Hunter Wendelstedt
630492,2020-08-01,2020,427361,Paul Nauert
630493,2020-08-02,2020,431232,Chad Fairchild
630495,2020-07-29,2020,484499,Manny Gonzalez
630496,2020-07-30,2020,503490,Chris Segal
630497,2020-09-04,2020,483630,John Tumpane
630554,2020-09-23,2020,644760,Adam Beck
630568,2020-08-15,2020,483564,Dan Bellino
630569,2020-09-25,2020,427533,Mark Wegner
630570,2020-09-26,2020,644760,Adam Beck
630573,2020-09-27,2020,427168,Marty Foster
630575,2020-08-04,2020,427292,Ron Kulpa
630591,2020-08-05,2020,429805,Todd Tichenor
630592,2020-07-31,2020,596809,Ryan Additon
630851,2020-07-23,2020,427220,Angel Hernandez
630852,2020-08-30,2020,503493,Sean Barber
630853,2020-08-26,2020,427520,Larry Vanover
630854,2020-09-27,2020,608093,Junior Valentine
630855,2020-08-25,2020,482620,Chris Conroy
630856,2020-07-26,2020,504381,Will Little
630857,2020-09-07,2020,427533,Mark Wegner
630858,2020-09-27,2020,545402,John Bacon
630859,2020-09-07,2020,573596,Pat Hoberg
630860,2020-09-08,2020,639723,Brennan Miller
630861,2020-07-27,2020,427292,Ron Kulpa
630862,2020-08-25,2020,427248,Dan Iassogna
630863,2020-08-26,2020,521251,Ben May
630864,2020-09-09,2020,427534,Bill Welke
630865,2020-09-04,2020,639723,Brennan Miller
630866,2020-07-28,2020,429805,Todd Tichenor
630867,2020-09-08,2020,427168,Marty Foster
630868,2020-09-11,2020,427361,Paul Nauert
630869,2020-09-10,2020,427520,Larry Vanover
630870,2020-09-12,2020,596740,Jansen Visconti
630871,2020-08-28,2020,484198,Alan Porter
630872,2020-08-16,2020,483569,Vic Carapazza
630873,2020-09-11,2020,482663,David Rackley
630874,2020-08-04,2020,427113,Laz Diaz
630875,2020-09-13,2020,431232,Chad Fairchild
630876,2020-09-21,2020,431232,Chad Fairchild
630877,2020-09-12,2020,427013,Lance Barksdale
630878,2020-08-05,2020,427509,Tim Timmons
630879,2020-08-07,2020,482666,D.J. Reyburn
630880,2020-08-08,2020,503502,Ryan Blakney
630881,2020-09-22,2020,547380,Carlos Torres
630882,2020-08-09,2020,427113,Laz Diaz
630883,2020-09-13,2020,482620,Chris Conroy
630884,2020-09-21,2020,608093,Junior Valentine
630885,2020-09-23,2020,596809,Ryan Additon
630886,2020-08-21,2020,427292,Ron Kulpa
630887,2020-09-24,2020,596740,Jansen Visconti
630888,2020-09-22,2020,521889,Stu Scheurwater
630889,2020-09-25,2020,427361,Paul Nauert
630890,2020-08-22,2020,503490,Chris Segal
630891,2020-09-26,2020,547380,Carlos Torres
630892,2020-09-23,2020,427538,Joe West
630893,2020-09-24,2020,521889,Stu Scheurwater
630894,2020-09-26,2020,486200,David Arrieta
630895,2020-09-26,2020,483569,Vic Carapazza
630896,2020-09-22,2020,483569,Vic Carapazza
630897,2020-08-23,2020,594151,Ramon De Jesus
630898,2020-08-24,2020,482663,David Rackley
630899,2020-07-25,2020,483564,Dan Bellino
630900,2020-08-31,2020,573769,Jeremy Riggs
630901,2020-08-11,2020,428442,James Hoye
630902,2020-08-12,2020,577468,Roberto Ortiz
630903,2020-08-14,2020,521889,Stu Scheurwater
630904,2020-09-08,2020,427243,Marvin Hudson
630905,2020-08-15,2020,427537,Hunter Wendelstedt
630906,2020-08-29,2020,427168,Marty Foster
630907,2020-09-18,2020,573596,Pat Hoberg
630908,2020-09-10,2020,483912,Mike Muchlinski
630909,2020-09-11,2020,524988,Tom Woodring
630910,2020-09-12,2020,427243,Marvin Hudson
630911,2020-09-13,2020,483912,Mike Muchlinski
630912,2020-09-24,2020,503077,Adam Hamari
630913,2020-09-25,2020,427286,Brian Knight
630914,2020-09-26,2020,483912,Mike Muchlinski
630915,2020-09-27,2020,427243,Marvin Hudson
630916,2020-07-29,2020,521889,Stu Scheurwater
630917,2020-07-30,2020,427538,Joe West
630918,2020-08-20,2020,483569,Vic Carapazza
630919,2020-08-20,2020,639723,Brennan Miller
630920,2020-08-07,2020,427139,Doug Eddings
630921,2020-08-30,2020,427243,Marvin Hudson
630922,2020-08-09,2020,608158,Nate Tomlinson
630923,2020-08-10,2020,554242,Edwin Moscoso
630924,2020-08-11,2020,427128,Rob Drake
630925,2020-09-09,2020,427286,Brian Knight
630926,2020-08-12,2020,427344,Bill Miller
630927,2020-08-17,2020,598411,Nestor Ceja
630928,2020-08-18,2020,484183,Cory Blaser
630929,2020-08-24,2020,483561,Lance Barrett
