GamePk,Date,Venue,Humidity,Pressure,Precip
413661,2015-04-05,Wrigley Field,57,992.9,0.0
413649,2015-04-06,Safeco Field,69,1009.1,0.0
413650,2015-04-06,loanDepot Park,59,1021.2,0.0
413651,2015-04-06,Tropicana Field,66,1019.1,0.0
413652,2015-04-06,Citizens Bank Park,40,1023.6,0.0
413653,2015-04-06,Kauffman Stadium,85,978.8,0.0
413654,2015-04-06,Daikin Park,74,1012.0,0.0
413655,2015-04-06,Miller Park,75,994.2,0.0
413656,2015-04-06,Comerica Park,61,997.8,0.0
413657,2015-04-06,Nationals Park,38,1023.1,0.0
413658,2015-04-06,Great American Ball Park,57,1000.1,0.0
413659,2015-04-06,Dodger Stadium,33,997.1,0.0
413660,2015-04-06,Chase Field,8,968.9,0.0
413662,2015-04-06,O.co Coliseum,57,1012.5,0.0
413663,2015-04-06,Yankee Stadium,57,1024.3,0.0
413664,2015-04-07,Safeco Field,65,1008.8,0.0
413665,2015-04-07,loanDepot Park,64,1019.6,0.0
413666,2015-04-07,Tropicana Field,73,1017.5,0.0
413667,2015-04-07,Miller Park,82,995.6,0.4
413668,2015-04-07,Dodger Stadium,89,997.4,1.3
413669,2015-04-07,Chase Field,11,969.4,0.0
413670,2015-04-07,O.co Coliseum,67,1015.0,0.0
413671,2015-04-08,Safeco Field,61,1017.1,0.0
413672,2015-04-08,loanDepot Park,68,1018.4,0.0
413673,2015-04-08,Tropicana Field,70,1015.3,0.0
413674,2015-04-08,Citizens Bank Park,75,1023.6,0.0
413675,2015-04-08,Kauffman Stadium,75,974.2,0.0
413676,2015-04-08,Daikin Park,73,1011.4,0.0
413677,2015-04-08,Miller Park,83,991.4,0.0
413678,2015-04-08,Comerica Park,89,993.9,0.0
413679,2015-04-08,Nationals Park,81,1021.5,0.0
413680,2015-04-08,Great American Ball Park,93,994.4,3.0
413681,2015-04-08,Dodger Stadium,43,996.3,0.0
413682,2015-04-08,Chase Field,9,970.7,0.0
413684,2015-04-08,O.co Coliseum,58,1020.0,0.0
413685,2015-04-08,Yankee Stadium,71,1023.9,0.1
413693,2015-04-08,Wrigley Field,92,993.5,0.0
